episode_reward,speaker_loss,listener_loss,speaker_action_distribution_table,_step,_timestamp,episode_length,speaker_reward,listener_reward,speaker_q_values,listener_q_values,average_reward_last_10,_runtime,listener_action_distribution_table,epsilon,global_step,steps_per_second,run_name
-114.47608634790102,,,"{'_type': 'table-file', 'ncols': 2, 'log_mode': 'IMMUTABLE', 'sha256': '5f6cc401d463522079c18f23adc44f13fa9f396c6359f7d4549383098f1e0e40', 'size': 80, 'nrows': 3, 'artifact_path': 'wandb-client-artifact://qb569q84x4ajd6273pbxksxaql7imtnriduxl98wfyzebogo20re8e4jpo2orme9otnt8uzinhqnup2wpa1iy2nietvmokdldjetf5dv5t1wy5l5yst5ougg2ongjhuc/speaker_action_distribution_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://2jkxogyjvxtjfa86z684plr3kybypd8i7ay95bae6feocjgi14gz8swxufnzu0x3mjbvb2jbzjv86y4szbm9vn3jngz8519o21jgws75esj0chijyzdjaclscozg3mjj:latest/speaker_action_distribution_table.table.json', 'path': 'media/table/speaker_action_distribution_table_24_5f6cc401d463522079c1.table.json'}",24,1757661596.715931,25.0,-7.37381333899933,-7.37381333899933,,,,8.966051458,"{'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://k5aw4zi6w6r9tawouh5qzfs7f916yubjnfrx01phcb3sfbhm3lmybupoh03voux4h9tyvodx9exitk5ea95kpegca74yeddh31r7pqpem42svxyp036k7nd2nravzc3u:latest/listener_action_distribution_table.table.json', 'path': 'media/table/listener_action_distribution_table_24_9fcc59af2375bd2bf430.table.json', 'artifact_path': 'wandb-client-artifact://7leq4e6pyck2extma7rssx7plmhn5n16sis8ddtxqmr9ruibfkurcmfay7rhat98762qnym7c7m3bysrkptzjoqmnb03ff4lwm66oamz74c9ax3jvff4nllsqfqclvpt/listener_action_distribution_table.table.json', 'sha256': '9fcc59af2375bd2bf4305ca29de2aeec895c05864925de86f8d0af982a3fdece', 'size': 103, 'nrows': 5, '_type': 'table-file', 'ncols': 2}",0.9772,24,,learnable_alpha__52
-1.518975712215363,,,"{'log_mode': 'IMMUTABLE', 'sha256': 'd0a5b06809223392261a0a7cbc2cb384576903caaad3dee2d096927891150612', 'size': 80, '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://1mvvaq9zrc19qnr0v2zjze5vtgln6qoc48xsetmgw3bbj7oeezjsuoh21fe8s888z3wiymluuus3do33960dkb4tufe635n8vs74b9jjhulak56h7i51ijuoc5691vlt/speaker_action_distribution_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://4um1jvf1nmjqi865ri3f3a2h03yssn10mxhlq0ecpamz9cn30itg5xvgawvovjh7ovx78ovugbuasl02ql84bnz8b44jrpw180crf62ovbotgvgdxinedh4p28j5irc8:latest/speaker_action_distribution_table.table.json', 'nrows': 3, 'path': 'media/table/speaker_action_distribution_table_74_d0a5b06809223392261a.table.json', 'ncols': 2}",74,1757661600.704639,25.0,-0.0278640449517306,-0.0278640449517306,,,,12.960421833,"{'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://hmr1r746qicp3c4emwfs2qoypbwzguk1dlrugcph58f0mxayg4mcif8j1ve3k7p3b8h7hy0fldxupv7fim51wxphccs7lmf6sjq4kh4wdyeyv5hljbd1ii8mjgnxmuy4:latest/listener_action_distribution_table.table.json', 'nrows': 5, 'path': 'media/table/listener_action_distribution_table_74_424fc19348b715195941.table.json', '_type': 'table-file', 'ncols': 2, 'artifact_path': 'wandb-client-artifact://agn3gus5o4nlx2ci3b6i02iwsx88zofwykytjapfq8tx0fla17nn7epynf2scdqs5vv8o18m0d1gkmhke2cilzs9zagsumswr8i7mv032196qorzaty7mm50p31kfckw/listener_action_distribution_table.table.json', 'sha256': '424fc19348b715195941d665d5dd4feabd27e982d4c0706e923c10bf21b131db', 'size': 102}",0.9297,74,,learnable_alpha__52
-28.206735021062283,,,"{'ncols': 2, 'artifact_path': 'wandb-client-artifact://ov7ce82mdqubkj1hjz3id8l5ggnovzfjol9od18f3bn19fs2sxbqyg9muejt5f7u3u4gigkw2yd20vgfjqde4hee1z60ouppxomjhnxll2awx50blh9t16f68sr91dyw/speaker_action_distribution_table.table.json', 'size': 81, 'nrows': 3, '_type': 'table-file', 'log_mode': 'IMMUTABLE', 'sha256': '73fe2b5f695484160b63638fd6267ac5e97f019bdbbc37e8b23121c2fa3821a3', '_latest_artifact_path': 'wandb-client-artifact://uzxf70q9chuwd3ajtpfdmm50ude1jh0tbxo4dd8ifv28zndt85oio0yt1ycqvnj0xsovsthc1l8zkipsdx58flng7uqs4vh75czdrvt474omp0hq6qnv197l9ej5cdov:latest/speaker_action_distribution_table.table.json', 'path': 'media/table/speaker_action_distribution_table_174_73fe2b5f695484160b63.table.json'}",174,1757661610.015063,25.0,-0.7828176947537286,-0.7828176947537286,,,,22.269453125,"{'size': 101, 'nrows': 5, '_type': 'table-file', 'ncols': 2, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://wviet8yhotjd5p5dklsny85l3e5hjadkd9oh6oqvw872zhgw7lx0x74i4utzn63urszw29ly1twt0q1w466new82ogay2ukllwsa6xgvdxub1z4x0mhuge19o9tw8pzg/listener_action_distribution_table.table.json', 'path': 'media/table/listener_action_distribution_table_174_4abedff3aba70c7196b8.table.json', '_latest_artifact_path': 'wandb-client-artifact://w91gv3icmcfr2uygjrkagpppjp1tce93og6qoppp9x2kmujt4zdgcz8c2ts8qou856o51m8fw7iqfxsvn0xuvcs8ncegug0h7b6o5eoy5qmmed6gmdx9olnr8y2xrv2l:latest/listener_action_distribution_table.table.json', 'sha256': '4abedff3aba70c7196b82f7e9f0bb1e836d9f496578bba82270f2605d2d56ef6'}",0.8347,174,,learnable_alpha__52
-22.461694609139112,,,"{'sha256': '58b283e1c7c5d9c64c8718e75227d97c3a0de216203a91fcc9e7a92f0d1dd64a', 'path': 'media/table/speaker_action_distribution_table_224_58b283e1c7c5d9c64c87.table.json', '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://hj8x3ayv6hzuxbtm9ct7zxo2ix2ly8lep9direpsbmbyownfs8axifwkxqo70rbmxlgr21y94acjmh8q5a11dy6bdnfehhiknk06gksmea1dt92rywtbilgnads6efk1/speaker_action_distribution_table.table.json', 'size': 81, '_latest_artifact_path': 'wandb-client-artifact://snzvot2ll51bxenqm06kwcekgm29h8pwmt4rq9zzgy24flclmt6gmq7h0jb7waxkxlp1jlk2lwl3xax55fxmz57eoklmjvbmxvw858yw9t19vo4764kz1b5a8sopepez:latest/speaker_action_distribution_table.table.json', 'nrows': 3, 'ncols': 2, 'log_mode': 'IMMUTABLE'}",224,1757661614.031723,25.0,-2.4975719697333316,-2.4975719697333316,,,,26.290596583,"{'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://wcw6hliibljl3dpbtdw1090w17xae3y8itahz2okeq17zb0wtt4pnw8vg4ubn48jyoqnal9ipfj7kcf78wbgqh8wb1z42q2uy4shnsro5h0kusnglum1wel8zsakccil:latest/listener_action_distribution_table.table.json', 'nrows': 5, '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://1bfr58pvoeljufkoley6ho08h3p3i01ednmsatjcqlyibciq8dx4zxhizit6soevzv67jvrier6czyge72b1we9f0or14ukffv5klx0pqzo5ini47oezzonv6i4ch8g3/listener_action_distribution_table.table.json', 'sha256': 'b12519fde9dd5a427492c184019e409f1ce7c2556866432d8ef2ed400935fde7', 'size': 102, 'path': 'media/table/listener_action_distribution_table_224_b12519fde9dd5a427492.table.json', 'ncols': 2}",0.7872,224,,learnable_alpha__52
-77.03045199015719,,,"{'log_mode': 'IMMUTABLE', 'path': 'media/table/speaker_action_distribution_table_324_848541ca657ad8e6353c.table.json', 'artifact_path': 'wandb-client-artifact://zhd5691qd15z373gnsvuiex5nec1x00g3be0os6qi8j0uvghbr0dn5f5ed8pj8tfrb6mqti3a19w37l8sprfea0u6b8nwhzjvezkzewlq0bo1l77plpfcty5ui4dckqz/speaker_action_distribution_table.table.json', 'sha256': '848541ca657ad8e6353ca6efffd788a3e42fd728dc08d9fac12319e05c2661c6', 'size': 81, '_latest_artifact_path': 'wandb-client-artifact://1xejrm4c3augr5rroy8egrmsc4v7hsyspwiko6z4525q17eko6bdntkarekd9uvl19k0i56pr58m5w02hcbtsnbprhrwb89kz3qe2p02pow9y5sqec7pfquhhlasqo9t:latest/speaker_action_distribution_table.table.json', 'nrows': 3, '_type': 'table-file', 'ncols': 2}",324,1757661621.9261508,25.0,-3.724687291171796,-3.724687291171796,,,,34.195506042,"{'ncols': 2, 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://dulhq73nkkcz7d0h97wqt0opifcgxzn0zzbg0cg7oq6wakfuj1m1a4knts3wqaxyugaqn7sj3u597dwc24jd0pzyw0qoar1uoug2sjvmdpwzs9xlro66jg9h0rqq7sea:latest/listener_action_distribution_table.table.json', 'size': 101, 'nrows': 5, '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://oj515dkhcpune5do8idqc8bkp4txesxh9dil8pfmxmwssadjkkmpnklnkwhx073z3d9sxc45hagsbqvnnuor5gm53h8km63kvzonu4ximxvktecrkmcr3kic5dho8qkq/listener_action_distribution_table.table.json', 'sha256': 'dceebc65c7890e2df46b85546d17d722727592f75d11565920f40b1d38c03f78', 'path': 'media/table/listener_action_distribution_table_324_dceebc65c7890e2df46b.table.json'}",0.6921999999999999,324,,learnable_alpha__52
-93.83415133268775,,,"{'size': 78, 'nrows': 3, 'path': 'media/table/speaker_action_distribution_table_374_0a705f445b2a7176dcd6.table.json', 'ncols': 2, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://tmfguds1meesq9u33n0srqz5rgdudbs66aavmdyvjcc22debi77nwrp6aane2oywc251bw8aeixp1zxr6k65brxomm70erh14mu7ekk3l0qqia25p08070ulvmzb2k3f/speaker_action_distribution_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://34ojelgon9yqr1ecyo0too4tbb1v1w0k0va9jwkf6fdu8q6ivtdzvn73t05h9lrguqsthu0l00pd08kr3gbdsnnbu8ewz7ro6a2i7rv32lif9wkra1zrjeqp7v5r2mcf:latest/speaker_action_distribution_table.table.json', '_type': 'table-file', 'sha256': '0a705f445b2a7176dcd6caee701fe0fd98015df6aa371d252861195b33bd4146'}",374,1757661625.926234,25.0,-4.180795831989979,-4.180795831989979,,,,38.185304083,"{'sha256': '55877c5bd7eb8d32d43c7c79d7b4df6c6312806da9e0b43ea8abb85ab48dd4d7', 'size': 102, 'nrows': 5, 'ncols': 2, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://d63pp8g0ggv0z72f3i1c6r7yrdrcdzbu7a1datv6w0bvcr28qesx3wiypzpnt746yx9mzwc1ashrfozbjxyf5tdgkl9aakcqrmbm9t1n2cq3hshwvlvyummpi2v7twy5/listener_action_distribution_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://1br96dmdha72ind50568ad803ogkcggi02mh4dehnbm9xxc535hfo3qgzwrq1gqr796uef8pgf3lqft8c72dsoea9of5psoy2yor07mr4154mv9rmnpct0qd21chim4u:latest/listener_action_distribution_table.table.json', 'path': 'media/table/listener_action_distribution_table_374_55877c5bd7eb8d32d43c.table.json', '_type': 'table-file'}",0.6447,374,,learnable_alpha__52
-67.47277228115667,,,"{'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://ud4dr4n488yt53lkukdkmdwd5f3c9mnno7ymcq7skpxf16lgtixazm3zogsly781fskwtzf5eyx8rcvql9ew6ammlfcptkxi7s7kv7vp06m4tiu8nk5ztbugn27gwo9o/speaker_action_distribution_table.table.json', 'sha256': '43f862075bfab2927ed2bb696c059024dfbcd5b7e8e053e8235331bc73aee3f1', '_latest_artifact_path': 'wandb-client-artifact://hl6kjfdxoolf98rtttmeuhv4i782zbaekpfm2sgse2e7p3a4v0fw6hmvrtobysycnp6zn5n5sig6usdv87cfp8bakvjfbse6kf8q4cw9ekbo6knebwdkox7jf9ayqge6:latest/speaker_action_distribution_table.table.json', 'nrows': 3, '_type': 'table-file', 'ncols': 2, 'size': 80, 'path': 'media/table/speaker_action_distribution_table_524_43f862075bfab2927ed2.table.json'}",524,1757661637.773163,25.0,-3.6562260033956946,-3.6562260033956946,,,,50.041359208,"{'_latest_artifact_path': 'wandb-client-artifact://y7rw4yf15cqur469gwnhdn82kiuak7x2s5k0rw3j4cg2gulmt1i51u6q1o3w0r95j8h06oq6gnygbdwu2wnyak9jlt5ghtord9wzht0uaowh6af758uv4okafzihhjc7:latest/listener_action_distribution_table.table.json', 'size': 102, '_type': 'table-file', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://j26gfnel7lerrxnxhep1ruan1h8j4zw906r17ymi0o5lqmmz2ga9y2xidceaamm8hduaquqw1ejny2czdfcdk1tcdr5bugzgyiapsbxfjx7h9mavwarshgzary7xbzqd/listener_action_distribution_table.table.json', 'sha256': '6a301355ccd1f41019e81c7b56723700762b0fe99fa141df5900cb8c9ea88499', 'nrows': 5, 'path': 'media/table/listener_action_distribution_table_524_6a301355ccd1f41019e8.table.json', 'ncols': 2}",0.5022,524,,learnable_alpha__52
-15.332752735851692,,,"{'_type': 'table-file', 'artifact_path': 'wandb-client-artifact://718s27mqfpqtn7i9p1o16hvb5sejwgk5nj4bzxhvoj5pqniniry86djuwnxzxdbe2c9cdux8m2vkhrwdy9teamo3avcjsat9x1lzk8rs8khjgmx1ezsrnhn3et7ye2w4/speaker_action_distribution_table.table.json', 'size': 81, '_latest_artifact_path': 'wandb-client-artifact://h4mhaa1j1cfiflwjhktxuarllhmbvplmpb594mvruf255vqoeglp9oxedmli6bme054hd054oz39vlb99kdx3yuq6cpwzmp34ncr586lo1chd2qk8xgala2riv0eiwrw:latest/speaker_action_distribution_table.table.json', 'nrows': 3, 'path': 'media/table/speaker_action_distribution_table_574_aadaf7b8bb59d775e9df.table.json', 'ncols': 2, 'log_mode': 'IMMUTABLE', 'sha256': 'aadaf7b8bb59d775e9dfc0799929b2666d037c6c9b2d5a6097757ab5453e4a5b'}",574,1757661641.742195,25.0,-0.166146168166265,-0.166146168166265,,,,54.010912208,"{'artifact_path': 'wandb-client-artifact://nmatsoxadmlciypyk72z9f6nbevzoztfdl4anqat2f71ilkwbhh26q24uygxr5pw13i8qiazxad74upi12vydvr34pii7exzlmkof1gqce1224a1atalciw2jsiy1usv/listener_action_distribution_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://514tmkjl5zk8t0o1n9azdx2n7przevtoqtdqist09696v2dbvmek49cimh9cick6nzmualn2ukm04mods6kgbww9nszx2ktuqhukkifq5cemiekfv0s0q1qkfvzttbv2:latest/listener_action_distribution_table.table.json', 'nrows': 5, '_type': 'table-file', 'ncols': 2, 'sha256': '362480246628083a01ef756757931b218743610b52d3747cfb0cf0a0039e7426', 'size': 103, 'path': 'media/table/listener_action_distribution_table_574_362480246628083a01ef.table.json', 'log_mode': 'IMMUTABLE'}",0.4547,574,,learnable_alpha__52
-81.28962892657071,,,"{'_latest_artifact_path': 'wandb-client-artifact://h0o1acv7s2trtg0ptgs1v1nq8l7xkx3uqfcrlv0238pai0s6b4kny2h90zofr851ykj5xv9oj400xzczr2da9jngf3dxq2v5fklv5ela5wetfotysiflgqz2ydx64f5y:latest/speaker_action_distribution_table.table.json', 'nrows': 3, '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://wsjxnk1qaskcivfmu1g557wb42fyu91xs153kd7dghtaq02ydxn6b6505405uz9wfwxst93h7ip2a0xbqu0tomuljbkffexl2gt72qdpggg312hkrhhptynrtya6w1mc/speaker_action_distribution_table.table.json', 'path': 'media/table/speaker_action_distribution_table_624_d0a5b06809223392261a.table.json', 'ncols': 2, 'log_mode': 'IMMUTABLE', 'sha256': 'd0a5b06809223392261a0a7cbc2cb384576903caaad3dee2d096927891150612', 'size': 80}",624,1757661645.652072,25.0,-6.916293439559446,-6.916293439559446,,,,57.931436875,"{'log_mode': 'IMMUTABLE', 'sha256': '5932f74a62000caddda7a59175f3874e1fb9d65787e7658239ee83ab5cf0ebbf', '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://h76w9j7jn4i955gfnsuwyvh86qvfir5tepekjmpcevctdebawxkl6l84dg4vzso2c9zs3sdsda3c2gius9qs4jp02nz7k62v46csxnf78xrpff52rrp73knmtqg9i47y/listener_action_distribution_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://381vsbie2x1krs574gqo0oh3fs2t1be45ranhhjdg8mslv7snxy6c1guluixyjv9xrd50qmx08jucazujjmxq44p45er6ynq5fdumx4jse1yj8uhbbea8bt7y3xb2whm:latest/listener_action_distribution_table.table.json', 'size': 103, 'nrows': 5, 'path': 'media/table/listener_action_distribution_table_624_5932f74a62000caddda7.table.json', 'ncols': 2}",0.4072,624,,learnable_alpha__52
-51.7086684299892,,,"{'_type': 'table-file', 'ncols': 2, 'size': 81, '_latest_artifact_path': 'wandb-client-artifact://g09es6qrahxqveba6d8wmez29jbqf23mf6u2p6dbzi7g7ko958lyi8ajsiqg6kagj5sgbwyt04sjaxx7xrflo1btc2sf14gpf63s6khl9z7rpi85fib8hemzdh6sh5jz:latest/speaker_action_distribution_table.table.json', 'path': 'media/table/speaker_action_distribution_table_674_7627920c997adf2d00f0.table.json', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://esk59m22gsftm8hzd6aq91vpe3jij6r9auba5tqfkk0ssqdul02yjw8y3gjknumlmn6309kfwarvregp765axjz7e6w5rt1mmfat35theju6u17nozcaih6pqa5p439v/speaker_action_distribution_table.table.json', 'sha256': '7627920c997adf2d00f0773168678fa186b3e94d27cd906b3ba648364639f0bd', 'nrows': 3}",674,1757661649.581023,25.0,-1.9341294666532975,-1.9341294666532975,,,,61.854253292,"{'path': 'media/table/listener_action_distribution_table_674_553d3717352b5e5b847d.table.json', '_type': 'table-file', 'log_mode': 'IMMUTABLE', 'nrows': 5, 'ncols': 2, 'artifact_path': 'wandb-client-artifact://hp4j68k6ho1xuwpzs5tcysepx0xxwmrg77jyvd7rwju7wdmlw011bfy529tiwql7knn4c42qxi91etnryn7z22gb9vzz7lil2nex35b4xa7r7ynul4jp6spc0izkmy08/listener_action_distribution_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://t6lhux1q4k67kxrsofgl8uqaxtzq9ingych9q6yx57e2zapfx60rio1dsop2twub36i38rh01dmfuhijkykskbxgqpk25km1gbxulhjda8ot3036pp9l3blvp2vymoyn:latest/listener_action_distribution_table.table.json', 'sha256': '553d3717352b5e5b847de2e667b9fe071107c8d2b6f3077c8d72dc344e4c8e52', 'size': 102}",0.3597,674,,learnable_alpha__52
