speaker_q_values,episode_length,_step,_timestamp,global_step,episode_reward,speaker_loss,steps_per_second,epsilon,speaker_action_distribution_table,listener_action_distribution_table,listener_loss,listener_reward,listener_q_values,speaker_reward,_runtime,average_reward_last_10,run_name
,25.0,74,1757574467.740541,74,-96.51781261832276,,,0.9297,"{'nrows': 3, 'log_mode': 'IMMUTABLE', 'path': 'media/table/speaker_action_distribution_table_74_6c4a510a7cd236526ecc.table.json', '_latest_artifact_path': 'wandb-client-artifact://1g2sso0tydp0p0d7kk22kl07350487s4qjw9wbg8uo7fd4oobyf09iilngq9pw2016luu4f1nnyb3u9hi9vemwtdnmqzobi0mca588ystzyqup7o5iqz3h9uqwx83lf6:latest/speaker_action_distribution_table.table.json', 'sha256': '6c4a510a7cd236526ecc7a77b16ed0c2adb8b1ad2d594caaaeed82c994e2afb9', '_type': 'table-file', 'ncols': 2, 'size': 80, 'artifact_path': 'wandb-client-artifact://lq4gbjl96dgix99tlhg6t63eto31gfsrl05emqeeahu4ochdjcd1wmvc5sp3isdlh9mql0msg4r01jdw6hk7v8noput1e7a6xtajeie9n57hpkw1ap590xxru4csjzp3/speaker_action_distribution_table.table.json'}","{'sha256': 'b38fb247123586c33b8fbc150aee29b6ea0469d6ef6740c43ec60cb2b09cc2dd', 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://vl89ywngdqptc93n9l89o8es4zuaw11kmpeqv2dqxpm4giws8paeomktnww2veblfs0egx5tbwtf41ofjuxswphf73eyczgkpt797cg7jk35tix7al40y44xhvuhleex/listener_action_distribution_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://grazqxb86xvx987w9mtmzjf94scxf0yuolb8hhfkpcd501gywx09krh62kvvoh58wjs5wff7gagtzwjk9tgf3ljmx7dewaoqtxwto93k9q1bdfnjyt0r83g2ljkl673g:latest/listener_action_distribution_table.table.json', 'nrows': 5, 'path': 'media/table/listener_action_distribution_table_74_b38fb247123586c33b8f.table.json', 'size': 103, '_type': 'table-file', 'ncols': 2}",,-5.684344482901946,,-5.684344482901946,13.486642042,,learnable_alpha__42
,25.0,124,1757574471.633535,124,-75.36310589779201,,,0.8822,"{'log_mode': 'IMMUTABLE', '_type': 'table-file', 'artifact_path': 'wandb-client-artifact://dzmp2robtzwucoyiag7jsdr4b4evhum3secmv1q6cxi0fdvltr7pjdl8xmc8vtn7k6uvormptwsew35mwty4mqguus5iufhdx7c3x0e1a5pcg4omgzvboet21t566h1d/speaker_action_distribution_table.table.json', 'sha256': 'bbbeb3011da36104475503313840a5877db1ed481a359e1bdf5f0381be3039ed', 'ncols': 2, 'path': 'media/table/speaker_action_distribution_table_124_bbbeb3011da361044755.table.json', 'size': 80, '_latest_artifact_path': 'wandb-client-artifact://m2b13hc2lq8gqr95btiqcmiwysehqtritastmh66za1p7on8ahdncrji0noqzu2sd9d8am923zihzxrq179a9xyzszpu1wa6c5zf0hl6wpvghvqhh3e41hv8vpf29mwy:latest/speaker_action_distribution_table.table.json', 'nrows': 3}","{'sha256': '3da57ab2bd3b47dc3fe47f9f5bb0bfc9b9cc0cd6d0da67d27fc759ccbc92319a', 'path': 'media/table/listener_action_distribution_table_124_3da57ab2bd3b47dc3fe4.table.json', 'artifact_path': 'wandb-client-artifact://umdg296rsqs898spmqnzl86se6mfkia7dcaf6koqdgl8xwx6jelub65fziyxexm2rdu6qx1vcfw1lq468r8iq19givkrdc08jgr8v64r19r9uv7zewkhq6xadrajpr8t/listener_action_distribution_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://91e4w080jqiufyr9tkxe64ad2o5lc0gieecigj5znzx33o8mxu6p0534cg97mc3zu2g1o71to0dvz14ufditns6f0ei4w3esmgkmu265ylgi1p69lr9b26lywpwsxvj3:latest/listener_action_distribution_table.table.json', 'log_mode': 'IMMUTABLE', 'nrows': 5, 'size': 102, '_type': 'table-file', 'ncols': 2}",,-5.3956029369866085,,-5.3956029369866085,17.381482584,,learnable_alpha__42
,25.0,174,1757574475.5388632,174,-52.37265362114041,,,0.8347,"{'_type': 'table-file', 'ncols': 2, 'artifact_path': 'wandb-client-artifact://onvymdlds3lcy6mtf1p1domaigr0f3arool0qtjx0lnejudpbq8wrhcajhclejw3y2bju7vhucuobopu6l5s7yylurpiwyejfry5taup3g3ztsz8a98e17flqg9tifrp/speaker_action_distribution_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://5ls4p6xgvhxu8h8i21wnjovwfcj07boeutsu4hv8b61swowu03uxt4cp2udynfgfpq9g6qr6hqhnqd7bf5d16ilnf3oy5pbjfnkf6bbtu3bd863f9vqahx52l583npo1:latest/speaker_action_distribution_table.table.json', 'nrows': 3, 'sha256': '674be64cb1ecf8a59e967180ab86566979979c45429754f1948878d82ac9610d', 'log_mode': 'IMMUTABLE', 'path': 'media/table/speaker_action_distribution_table_174_674be64cb1ecf8a59e96.table.json', 'size': 81}","{'nrows': 5, 'artifact_path': 'wandb-client-artifact://6aiyf3mvn09m1vk6avd1n6i0msu71377ciizpfauoo93drtdale646m6yp3gq7v2i994qug9wqxci8mpt2d8vciywu5trzz6hl1i64ipkscrlmv9pqzlmpzbjfz71czf/listener_action_distribution_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://tfrt1n0284p7g6ww1g7ylbvl6ytoz5zop0cpsvzwzxmka07cn62jv20bvz84acg16ur0z4n81v56ffx1xlbxku9yh9qmjxsljb8iqs46257qyx6pum5t4p7gsax937vb:latest/listener_action_distribution_table.table.json', '_type': 'table-file', 'ncols': 2, 'log_mode': 'IMMUTABLE', 'path': 'media/table/listener_action_distribution_table_174_40e2d6f743d2b4d40b86.table.json', 'size': 103, 'sha256': '40e2d6f743d2b4d40b860fdebefab32477c9100fad231bfa06f129b413a641cf'}",,-2.654916660797792,,-2.654916660797792,21.286737834,,learnable_alpha__42
,25.0,324,1757574487.539505,324,-27.3041321015881,,,0.6921999999999999,"{'_latest_artifact_path': 'wandb-client-artifact://qfg50w7vcqhwiab8vghuss2ygd3whh3pg2pth5et1skmtt1yzw6a5avsek5tbcgimd1v9j6tp8xu2r2cnxts49plagqidblzay052chclorhn2q37uf0xzzmteleck7y:latest/speaker_action_distribution_table.table.json', 'nrows': 3, 'log_mode': 'IMMUTABLE', '_type': 'table-file', 'path': 'media/table/speaker_action_distribution_table_324_b0990401ebd8a6448caa.table.json', 'artifact_path': 'wandb-client-artifact://i7dycf1qr9g1gby6t76d5p4itgtz43yv05pbng08ftd28edo3h74x9uhnpgqv2o88pw0rxxgzsqt354xjrcncx7tmovr4hiv9swcahwlniot4df5dxn53bzey7hydi27/speaker_action_distribution_table.table.json', 'sha256': 'b0990401ebd8a6448caa14420774a21e8ab03e96aa1fab271ae8ff2f3c76dfff', 'ncols': 2, 'size': 81}","{'size': 102, 'log_mode': 'IMMUTABLE', 'path': 'media/table/listener_action_distribution_table_324_18a802fa5fe169fed666.table.json', 'artifact_path': 'wandb-client-artifact://75rvd9l2l3nhdsg0g7s9w2qsby3v5u6ws8y07mvfxll6mib9648ficn4s1wdewvqhcch4mc227snlbsczno34lqnnrp5slb7uo6ip7qgk9577dt737csru2dwei171jy/listener_action_distribution_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://co8kj9nsoqzfdbx7uff1wkk9olsm7eoi2g7nemrrjtpjgksxevl00mq0kydenkmwxaubf9srqdx7ztp7eals7yy72fr5bvebuvtsmnmpzmm86b9wc9gvpmfc8ly24gsl:latest/listener_action_distribution_table.table.json', '_type': 'table-file', 'ncols': 2, 'sha256': '18a802fa5fe169fed666dcafdafefeee145df9f013773cbcc2d710e5fa7dedd9', 'nrows': 5}",,-1.549687070707144,,-1.549687070707144,33.286219375,,learnable_alpha__42
,25.0,374,1757574492.623894,374,-67.28517822193479,,,0.6447,"{'nrows': 3, 'log_mode': 'IMMUTABLE', '_type': 'table-file', 'size': 80, '_latest_artifact_path': 'wandb-client-artifact://lrjtf1kvnfish2vgp4av7a6r58zxbovs4v56ytiriom7my2zq629ucdhnf89779q78ss0l7e3qjzvu1ol6dwd6oyy7gb25eaf02rumve5iksjg36zo2wxk7ur7z8iv45:latest/speaker_action_distribution_table.table.json', 'sha256': 'b744caab4a512d1742ec62f2440bb93b0ecd8503795d91069dc431ed835d923f', 'ncols': 2, 'path': 'media/table/speaker_action_distribution_table_374_b744caab4a512d1742ec.table.json', 'artifact_path': 'wandb-client-artifact://oikekzmt2ph2xydnmprpv2rtqffr6o3jlpqna8s2h29kvzr89vdm9royjp4057t460741uevurc63omm2he041kdknpssm5d6umojy7tu18wr7nja2a8a44v7358t3rp/speaker_action_distribution_table.table.json'}","{'sha256': '0a78873c6abd2ab5727dc3128c0f3360f0f39dc0aa96212f9b2c7c6c34351100', 'log_mode': 'IMMUTABLE', 'nrows': 5, '_latest_artifact_path': 'wandb-client-artifact://codasjc2w0lm88e4f4wfdgep5pe99cnsdrtm63gymctvu546h4ay798ep1y6x11pgstmnnwg2ig1267vcbport39atjwu0l67jejd5p12116ra464zml6hzvkfelxkbb:latest/listener_action_distribution_table.table.json', '_type': 'table-file', 'path': 'media/table/listener_action_distribution_table_374_0a78873c6abd2ab5727d.table.json', 'size': 102, 'artifact_path': 'wandb-client-artifact://8gw0fqv82knak5i2nrxkk2g8qyy50q5l8lcuq22wf3nqjp4dl3y49frasje4yzadr9erxp7lkulnta4mtk0nvljslt0qf9kv7i7797tzz1677oy7y2jmuqwm83afdehc/listener_action_distribution_table.table.json', 'ncols': 2}",,-2.8743227426518487,,-2.8743227426518487,38.379929125,,learnable_alpha__42
,25.0,474,1757574501.8875442,474,-24.363249507609385,,,0.5497000000000001,"{'ncols': 2, 'path': 'media/table/speaker_action_distribution_table_474_4c63dd7bd90e09c318db.table.json', 'artifact_path': 'wandb-client-artifact://04qtvv0vjv2glhcjdn7zgliadliyzwfk4ih1fpwy9ii0uq0qpzrwq27xn82a0q41iz2dblsjdn8x3h6j3rahizkj5rn69jupdw7731yrvsndcphjozvxs07oborwqv54/speaker_action_distribution_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://0cd8y64frqe45mple9rn434l9urohfwv30pdy521nkepf75na5nd4pf36ttenfqu89t3r33zbzoypl9ao7bq8hnzqvgfl3324q9jc5ajv9hm2wiolbkivwffhrfjfx2k:latest/speaker_action_distribution_table.table.json', 'log_mode': 'IMMUTABLE', '_type': 'table-file', 'size': 80, 'nrows': 3, 'sha256': '4c63dd7bd90e09c318db68989ce6ba7a00f8a59e3d3890313a8b3a934acdc6ce'}","{'artifact_path': 'wandb-client-artifact://57hw97an3es5lx84e1c9was0ggyqlkzirhlkyjj8juhn4ghvyaztguoziibad1xsk6p1oazvdqd0xpbuip40rqrbm9eq29tubo5ls3zr0hafwvlmu3knyfw4mpb8pip4/listener_action_distribution_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://g9b6ithpjxtogjxj0q7idg1olzdslppo6neep5f8pvgd3d0xqwwqt1xz2odzpna14aymnudercc0vfcfxwpwfuzvqw4naijlwv920hqnri4qpjd3a7jbl0tzle7k4kt7:latest/listener_action_distribution_table.table.json', 'log_mode': 'IMMUTABLE', 'size': 102, '_type': 'table-file', 'ncols': 2, 'sha256': '86add1f8d65e599219e4328170e588280cf5da52257646e5be519bb7e7264689', 'nrows': 5, 'path': 'media/table/listener_action_distribution_table_474_86add1f8d65e599219e4.table.json'}",,-1.1477807422510045,,-1.1477807422510045,47.661167209,,learnable_alpha__42
,25.0,524,1757574505.8086138,524,-50.28601903930798,,,0.5022,"{'nrows': 3, 'sha256': '43f862075bfab2927ed2bb696c059024dfbcd5b7e8e053e8235331bc73aee3f1', '_type': 'table-file', 'ncols': 2, 'size': 80, 'artifact_path': 'wandb-client-artifact://9pzkf45b5q81zieng979reycrskpf61srn7248zou6mc2anrhhu1gvubo93idqshw242prelpe2umdu4qpz4p2rhfnpl0pv59meidc9hdvmflcgxcqkzpb09evo55uwt/speaker_action_distribution_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://vnqs1ppor0w1n0bzt3x42pt6qz7y2rw64zzmaetcy72wq5rrcg2wdx87cgteevbyfihz2ik3dbp04cs1xbth1qbguuqbk6tctg7yk1ladqzmbomtpe8b3kxbp6g4sgar:latest/speaker_action_distribution_table.table.json', 'log_mode': 'IMMUTABLE', 'path': 'media/table/speaker_action_distribution_table_524_43f862075bfab2927ed2.table.json'}","{'nrows': 5, 'path': 'media/table/listener_action_distribution_table_524_7902dc29c73edb74281e.table.json', 'size': 102, '_latest_artifact_path': 'wandb-client-artifact://bkerurn9zyvjvn51h9cmb2lhix5v9cwfl2ykvtrzahp2m6vlg07x5x147eznlve8302rem5pv36ur0m78zn61xepdw6vhxea9jo6hzm1hmh4kb5s4hx9iiny1y0g6d85:latest/listener_action_distribution_table.table.json', '_type': 'table-file', 'ncols': 2, 'sha256': '7902dc29c73edb74281ef58abe1376b7117f61556c7a3a36ce82460e9798fbae', 'artifact_path': 'wandb-client-artifact://busitamw8zmo19e86jo6q3z6zzahh5l0k7mugysuloz1pnzrkr11acvknypdttimfobnszzoq02w1gd343dy77xijge0rvc3zvxawkk20uurv5k01qn8xpnc2x5an06s/listener_action_distribution_table.table.json', 'log_mode': 'IMMUTABLE'}",,-3.042216969647716,,-3.042216969647716,51.562395042,,learnable_alpha__42
,25.0,674,1757574518.334413,674,-18.72462950758808,,,0.3597,"{'_latest_artifact_path': 'wandb-client-artifact://7x0yhop4u1dex84kuu5z6s26fg6xg33q8olakg8wt0em0oeo0xx1lz9ptv4b15jiigce0hzgijnfv0zht6ks1p1wuso5eqegfghoctwqwilizaqqp9f1cxw0gc09qjtk:latest/speaker_action_distribution_table.table.json', 'nrows': 3, 'sha256': 'dd0164a53eb2461f6e008d283f490137e3ce69f881079b15b506cd72cef77a24', 'log_mode': 'IMMUTABLE', 'ncols': 2, 'size': 81, 'artifact_path': 'wandb-client-artifact://ax5le51maj7nkyh1t6br8hak4nxepv5as8ls7x1u5gvy29q3205ejfmgu7wkfmmox4a3fkegza37k0x6fzb4ya18dmazqz9e0dp104o8ofcmmg7zj6jkrsdao6tq6wbc/speaker_action_distribution_table.table.json', '_type': 'table-file', 'path': 'media/table/speaker_action_distribution_table_674_dd0164a53eb2461f6e00.table.json'}","{'nrows': 5, 'artifact_path': 'wandb-client-artifact://vys1zsfovrmbrogewtqmtibsiz067u7sjzw3sivsb6h69noppxv469flreu5jcsoh3gz0yg0g8tk9lho2t5psqwat9ny5apicwzjqayr44ojkejt8ydmrh1wzx5dncbg/listener_action_distribution_table.table.json', '_type': 'table-file', 'sha256': 'e61b889bc7c38aa8eb8d5a05b8898ba9848d23676af6d369652ec78bebd8c349', 'log_mode': 'IMMUTABLE', 'path': 'media/table/listener_action_distribution_table_674_e61b889bc7c38aa8eb8d.table.json', 'size': 100, '_latest_artifact_path': 'wandb-client-artifact://1xtw16id7zjcl977zbtgbdvfxd1pwbb4l9xxmopla43w0zys4rg9oupypbjpb6kj06b60anplrb6l4m8qwu2k9f2cvjo0au2hjwy6r08ir28ro9psnig5rgzo9n8nz65:latest/listener_action_distribution_table.table.json', 'ncols': 2}",,-0.8803863169925916,,-0.8803863169925916,64.098417792,,learnable_alpha__42
,25.0,774,1757574526.9405382,774,-31.456673577758743,,,0.2647,"{'_latest_artifact_path': 'wandb-client-artifact://459l78ue2c6kjgfm3nu9k74ys980xrknumcjn3r1r6anh7il4f23zix8q8zf61vlytguxiuba8ngjxqgy6hn7aydoj8oul9qf3qd3b3bfj9vfjcu3xy5ka0yyuuil6vr:latest/speaker_action_distribution_table.table.json', 'nrows': 3, 'sha256': 'ddd38cd2a92f0998aee32adff8c998b718dad1490fbce5547cb28c27835ecc82', 'log_mode': 'IMMUTABLE', 'path': 'media/table/speaker_action_distribution_table_774_ddd38cd2a92f0998aee3.table.json', 'size': 80, '_type': 'table-file', 'ncols': 2, 'artifact_path': 'wandb-client-artifact://d1bcqs28qhhjjgxkonja9im4b8hzkghgp3os4vpwk7ysxi1wiolq7cq0vb4t3zoc9g7sk3fmuhksyagjyl6dqyh23653vdl0gfu2j5o1mta7zff0vbhvanl293jkorns/speaker_action_distribution_table.table.json'}","{'nrows': 5, 'path': 'media/table/listener_action_distribution_table_774_c15d753f2242cb7cd6bf.table.json', 'artifact_path': 'wandb-client-artifact://nf8nu0uyh32q01lkx98q64laupglc8rybe30yin1481kaou0tuyxqs0zbhhujca5dihhq2o545n3kv3s3rz6jmjd2xn7lr1zhpbfxiu7rjiav2ccp70r3pvbh295g3ux/listener_action_distribution_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://p0uksa1054lexs445gctwm344imtwu0gxys6car76a4r5ukph5czffm3hdkfhtyv2n736zhhdxekcxonyho2h4b6j44l9zh1geg6zloqijthr3mkkqbkcydo353mcjvm:latest/listener_action_distribution_table.table.json', '_type': 'table-file', 'ncols': 2, 'log_mode': 'IMMUTABLE', 'size': 103, 'sha256': 'c15d753f2242cb7cd6bfb27ef554aa37f0d1b2e26ce60d384c20fe6ab71cc79b'}",,-0.6483913987669192,,-0.6483913987669192,72.711495584,,learnable_alpha__42
,25.0,874,1757574534.846189,874,-17.168936485940776,,,0.1696999999999999,"{'sha256': 'fd5ce18f3768ae73923a23039b41b1cebee0e36e916e8638812fe2b77818d6c4', 'log_mode': 'IMMUTABLE', 'size': 80, 'artifact_path': 'wandb-client-artifact://fg8cxeu6mkts1asln1ctk5nicq5ichon8jdgkvmvxta0a9vyeqa5vaqd2g4ucw4dw6hw0kh74gibgk5pdw5hjw6n1hkd4a1a7611zgo638kjcicv3smzrdjjb4ixyewb/speaker_action_distribution_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://n4d63rkv0fcs4wbbljndgqeoec0x2fzg1qz02nag0optg1n7idz3f7jg5evclvab1ak7qqv4accnbj4sqrpqly8tzwnznnoko6khpzwakhidx3j2g6xd7d267lgk58qc:latest/speaker_action_distribution_table.table.json', '_type': 'table-file', 'ncols': 2, 'path': 'media/table/speaker_action_distribution_table_874_fd5ce18f3768ae73923a.table.json', 'nrows': 3}","{'log_mode': 'IMMUTABLE', 'path': 'media/table/listener_action_distribution_table_874_cdcff0366669b6c6023b.table.json', 'size': 100, '_type': 'table-file', 'ncols': 2, 'nrows': 5, 'artifact_path': 'wandb-client-artifact://80fsucb349bax34cl1ddgsvxucuyuqzh5idmrrgb9ei2e4q1ttw8o6u8b0n5x476ft7zcyvfcvz2olx8q49qhfkmzvn88d0h97dlw4k90kxl2icabj1ikn9yfdtobms0/listener_action_distribution_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://7wyr08osbh5dteobsm98bnrr4s63wldjq8uor2aqwb8f8qful1wljte7w4ixpb7ts4aas7ci7scavjueanrhizkaqx14or7errotpiilfsh8zp3af8wtijgz1qwb5x5b:latest/listener_action_distribution_table.table.json', 'sha256': 'cdcff0366669b6c6023ba099a37a3d1a2d98cdd86ac10e0c0709943abf5401bc'}",,-0.2911932367588663,,-0.2911932367588663,80.620630834,,learnable_alpha__42
