episode_length,steps_per_second,epsilon,speaker_reward,_step,episode_reward,average_reward_last_10,speaker_q_values,listener_reward,global_step,_timestamp,_runtime,listener_loss,speaker_action_distribution_table,listener_action_distribution_table,listener_q_values,speaker_loss,run_name
25.0,,0.9772,-3.9273166875708627,24,-75.04629666161745,,,-3.9273166875708627,24,1755614519.0762162,35.2481674,,"{'artifact_path': 'wandb-client-artifact://q1ge2ks5yx2icpdjq0dwdlz1qvkvhvex3zit5fx7b4w8373hsswl33vwzoy5bohqppunjj2k8mko7x9jt0ohnngnjsk2398jmy3h6hg9e4dtwp80m4pyjozkhmqd17ty/speaker_action_distribution_table.table.json', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://acqiadave00wvnf1ut4wkc4mr6sathkkjsanxe4qeqtyy68ofvfaik2zn4gr0gveizbfydtfcou66il17w9g01kvvi7f8bbpw4l36m6h91x1i5yhz935k88e8rnjjfgr:latest/speaker_action_distribution_table.table.json', 'sha256': 'd6a57e8e2775558f30705decf6a002d5258f61e9b1d76d161aea9dda67402bf3', 'size': 78, 'path': 'media/table/speaker_action_distribution_table_24_d6a57e8e2775558f3070.table.json', '_type': 'table-file', 'ncols': 2, 'nrows': 3}","{'path': 'media/table/listener_action_distribution_table_24_988f97a8f64911696ba6.table.json', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://1pt91lfm1qnts9bm77p5bcy188j2z934vwmpx8117on44n7xuhp2qla2ul9e02fz5u3mciwjgz3t3hbw502azzwxioaoy4i6mqvmkldznx9m7c302kqqg9or5x7e658j:latest/listener_action_distribution_table.table.json', 'size': 102, 'sha256': '988f97a8f64911696ba60c54708777966c0760587eee8fa696f1c6a08badddbb', '_type': 'table-file', 'ncols': 2, 'artifact_path': 'wandb-client-artifact://8n5gbk81xyze27lsm3rpz6gexwan11dozel01wvll3j1cxpnmt84oum2pk3tefatauyj9p81rmuexeel57494hhmh7d978jcp9wyquq2gaywgl1jwr8s2dm28t104std/listener_action_distribution_table.table.json', 'nrows': 5}",,,ma_dqn_hypergraph_gat__1__1755614506
25.0,,0.7397,-2.23685027730817,274,-50.037404404837886,,,-2.23685027730817,274,1755614546.4731035,62.9222433,,"{'path': 'media/table/speaker_action_distribution_table_274_330b69a38ba756b6be7d.table.json', 'log_mode': 'IMMUTABLE', 'sha256': '330b69a38ba756b6be7dcfc3cc842b36d3e1153477e5db67350d601d536812b7', 'size': 82, 'artifact_path': 'wandb-client-artifact://441ihbaku3450cq05n2z6ubz9oanresg5pawrsir3ieurhe5ubpok9z39f9zkbtyurqm8m5tnfy07pvac5pueid9j1khuqfmp4bymwf30t9hbhek22u8jcaatsikotqj/speaker_action_distribution_table.table.json', '_type': 'table-file', '_latest_artifact_path': 'wandb-client-artifact://qowh8974sygq2n8hn7dyt1ng4uu8t0lukpblnogf5y72v8sd3izw8d4kfv8myxgskldjs3s54i1xs6pxsf5ikuf3x6vtum0673cl8e24o7zaes11nmlh066a755q0ug6:latest/speaker_action_distribution_table.table.json', 'ncols': 2, 'nrows': 3}","{'_type': 'table-file', 'ncols': 2, 'log_mode': 'IMMUTABLE', 'artifact_path': 'wandb-client-artifact://0ryd5wuj296b1ls62faw85ygs9bax1mv8kgo9fcm27qiw2rywz8mfhr2fk33jak74l37wvk1dek3m7l2ipgrce07quvdu9604eej3au40xnpdch7ykt5144qr5yp4oki/listener_action_distribution_table.table.json', 'size': 106, 'path': 'media/table/listener_action_distribution_table_274_117508a505bdbff0f584.table.json', 'sha256': '117508a505bdbff0f5842da93a6cd6bdd59c28ae3269f21fa7d1bff585a79900', '_latest_artifact_path': 'wandb-client-artifact://o1suek4xdgecpay4xihnfa4352ea6ywt4hcqoezl2loa6vhdc1tma6tg4yc131jbyeellzhfgnyty4cy77sp50xz0v2w6w6riokl26o5l6atv7gj2zqwnmvuvkj9cf9c:latest/listener_action_distribution_table.table.json', 'nrows': 5}",,,ma_dqn_hypergraph_gat__1__1755614506
25.0,,0.5022,-10.266447468567776,524,-113.1319867404988,,,-10.266447468567776,524,1755614574.0328748,88.7137573,,"{'size': 83, 'artifact_path': 'wandb-client-artifact://6mk8aij3a6b82nihajxr6v7ap2lmnvr2gxx464flresjydodaym6s6wdhvwg57jloir1w8paxi5nizkb15j1p3nh4zttjporjhkaq93w7xhj96xf4i4lb72ybw8oz0ff/speaker_action_distribution_table.table.json', 'path': 'media/table/speaker_action_distribution_table_524_954d05acfb169afa234a.table.json', '_latest_artifact_path': 'wandb-client-artifact://6dau5a94ap72xivsxzplh0lpth1kie18n9ep49rte83go6xpqehj6nzxy4ivcs4itj4rx2tewxc888cr22erlitenldhw8solfmmy33p2dg6zci9qnp1e673uuxegq3b:latest/speaker_action_distribution_table.table.json', 'nrows': 3, '_type': 'table-file', 'log_mode': 'IMMUTABLE', 'ncols': 2, 'sha256': '954d05acfb169afa234abcd3569b4b8981596b5bc5576309531c870dbbc46da0'}","{'artifact_path': 'wandb-client-artifact://wormi2ksqo6x23g0i5rlhr71b9nrj552clbs4seqn5ptvbr2w0ncbyhrqqh70kygw1a516nizkmjoehpz0ego8v9hdpiq9lddhj2llj2lsxuqmne7c70p0p78h8vh4nf/listener_action_distribution_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://58rcdyleolqpvx77jfnykents6sg1eoi95gg8avbcqqafjdakencv64shf44czfmywz5i5pn4coeutghqdncl82gqbpbhnvrb6t033lhadvll8ygfez6j74iut9c43o9:latest/listener_action_distribution_table.table.json', 'nrows': 5, 'path': 'media/table/listener_action_distribution_table_524_ff47a92e733286911f7a.table.json', 'sha256': 'ff47a92e733286911f7a27b8647bd4853c13dde1b7b70cecfe37cfe4655d1c6f', '_type': 'table-file', 'ncols': 2, 'log_mode': 'IMMUTABLE', 'size': 107}",,,ma_dqn_hypergraph_gat__1__1755614506
25.0,,0.26470000000000005,-5.0646857859155245,774,-48.27641558618901,,,-5.0646857859155245,774,1755614599.7902102,114.0441798,,"{'artifact_path': 'wandb-client-artifact://tibc1j6b0d58knqzvrs8q3dbgh1wcuivnr789fx0tiysy1yd5t9koqsewduym9kkwe5aqzhlbs5i30pdwl0q5goxl02g7mu1zdm9vruexrwpmd95wfmzxh66z83k7mon/speaker_action_distribution_table.table.json', 'ncols': 2, 'nrows': 3, 'sha256': '19bcfd9c09d7878a329d823f3ab1dd0713ea82b78f2e42d4a5f0899ce2967965', 'size': 84, 'path': 'media/table/speaker_action_distribution_table_774_19bcfd9c09d7878a329d.table.json', '_type': 'table-file', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://mwykwg5oul373l0yyw7554hpd4uzsib8vktdcr61r77j1tzrxu32inkmt2ik23msso338zmflj0p6jw9o94jlzkfozz0o1fjetzdkhq6stdh6squcrnse2zathyuijyf:latest/speaker_action_distribution_table.table.json'}","{'log_mode': 'IMMUTABLE', 'size': 107, 'path': 'media/table/listener_action_distribution_table_774_fcc79ac232634ceb8c27.table.json', 'ncols': 2, 'artifact_path': 'wandb-client-artifact://ue0k8mx2l1591se2j9n8ootyhabczllbyped7erq7e1j5eju6xt0brkex0r3b5tw9oaklfcedl4ot6xui93e1ovca4cze1i2eofbqo5l6fwi9c7fkdwsjq6a5s28dgfd/listener_action_distribution_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://p8ysgjwfhdl80sf9pl923alkftnn1awnqbdi8oopb5il9zvs4emoljbv8qpk4id0vku5w5lrzzpgp3hrpk2ikidg7xyx8gxsoxktjdhhlfbulfavfpelnqz7rfjsxqa8:latest/listener_action_distribution_table.table.json', 'nrows': 5, 'sha256': 'fcc79ac232634ceb8c272c0875f52781309f7b27c4af66606f5717552c5ac548', '_type': 'table-file'}",,,ma_dqn_hypergraph_gat__1__1755614506
,9.0,0.05,,1020,,-108.96638394803401,-0.35150378942489624,,1020,1755614623.671296,115.4778274,0.28877630829811096,,,0.07189434766769409,0.37832552194595337,ma_dqn_hypergraph_gat__1__1755614506
25.0,,0.05,-4.03275134694082,1024,-79.48097047261967,,,-4.03275134694082,1024,1755614628.5374463,120.8594804,,"{'artifact_path': 'wandb-client-artifact://ft352ceajggc3c04lby63eo1su4685ocza8c37kn018fu6irol03n37s5ocxr8h3ql1yfcpboyuaeemypkar4iumuja5ul6gbbg8rhsg2wse1477ttv7cmzwmhs2cciy/speaker_action_distribution_table.table.json', '_type': 'table-file', 'ncols': 2, 'path': 'media/table/speaker_action_distribution_table_1024_d34d71e2c92e3f346136.table.json', 'log_mode': 'IMMUTABLE', '_latest_artifact_path': 'wandb-client-artifact://3liku7pxq2lwrg72wohp9ijd53hua1gek5cflqo1s3nitxylns9zbm6ea14t9gu06bltnu4vqw65li53bwsxhbf5yh4d031z9ppgl3838rtb7hz02ryztq7v7519p017:latest/speaker_action_distribution_table.table.json', 'nrows': 3, 'sha256': 'd34d71e2c92e3f346136bfd18e1fdeba59ed6ccae575b269aca67e0d4a311236', 'size': 83}","{'artifact_path': 'wandb-client-artifact://3ap3nrm2cp3qe5nwqft2pap7mnrdygfvlw4rcki3s4loz6yr95nqz8ko4ytow25uttpoe9ut2y13gk6xgvuk7tjq4rx8il0d9r3nf5jtg5t4bnvsihfafg7e5o5m3a7l/listener_action_distribution_table.table.json', '_latest_artifact_path': 'wandb-client-artifact://p2j5mwpf27ipl2c9etpvkr6l6eutbhqk0sm19u0m959qvxqmllrtb88igzqyzaf1ac09np901sawryfifb4gacaks1v7l00bdowwgknvp4uxc0tbxcorvrme350jptkv:latest/listener_action_distribution_table.table.json', 'size': 106, 'nrows': 5, 'ncols': 2, 'log_mode': 'IMMUTABLE', 'path': 'media/table/listener_action_distribution_table_1024_fb7de028c3d6a94d63cc.table.json', 'sha256': 'fb7de028c3d6a94d63cc78e4733a55945f11126d2a2e479891bd1bc7fcf96376', '_type': 'table-file'}",,,ma_dqn_hypergraph_gat__1__1755614506
,8.0,0.05,,1040,,-112.08683943667708,-1.0360482931137085,,1040,1755614630.5867774,123.1823725,0.1824255883693695,,,-0.4676820635795593,0.26694220304489136,ma_dqn_hypergraph_gat__1__1755614506
,8.0,0.05,,1070,,-96.80536817535724,-1.2690167427062988,,1070,1755614635.6600401,128.3874128,0.12962497770786285,,,-0.6549675464630127,0.17348414659500122,ma_dqn_hypergraph_gat__1__1755614506
,8.0,0.05,,1090,,-89.88915011255092,-1.1650768518447876,,1090,1755614638.0990853,130.8911667,0.22048988938331604,,,-0.6018651127815247,0.19696637988090515,ma_dqn_hypergraph_gat__1__1755614506
,8.0,0.05,,1100,,-89.55303440581817,-1.0926473140716553,,1100,1755614639.431758,132.0399041,0.24342027306556702,,,-0.5545111298561096,0.1665724515914917,ma_dqn_hypergraph_gat__1__1755614506
